target_log10p,target_p,installed_p,rce,region
-0.155,0.6998419960022735,0.0002344454367164651,0.9996650023318754,outside
-0.301,0.5000345349769785,0.0006275689578269456,0.9987449487706768,at
-0.7,0.19952623149688797,3.618188519757864e-05,0.9998186610105041,within
-1.0,0.1,1.4801393130312718e-06,0.9999851986068697,within
-1.5,0.03162277660168379,1.1314054147527092e-07,0.9999964221819323,within
-2.0,0.01,1.3113811431244789e-08,0.9999986886188569,within
-2.5,0.0031622776601683794,6.913818779297102e-09,0.9999978136585328,within
-3.0,0.001,1.9079622597803854e-09,0.9999980920377403,within
-3.5,0.00031622776601683794,1.2451000593146098e-09,0.9999960626478979,within
-4.0,0.0001,5.792876949691227e-10,0.9999942071230502,within
-4.5,3.1622776601683795e-05,3.8754944357388177e-10,0.9999877446105238,at
-5.0,1e-05,6.742257480020592e-10,0.9999325774251997,outside
-5.5,3.162277660168379e-06,5.224669485058824e-10,0.9998347814440564,outside
